repeat,case,project,routes,path_len,providers_per_rule,prefix_rules,origin_diversity_pct,generated_prefix_rules,distinct_origins,proto,wall_us,total_ns,total_us,calls,avg_ns,rss_kb,user_us,sys_us,minflt,majflt,nvcsw,nivcsw,log_file
4,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7317,1357649,1357,10000,135,21124,36052,8011,4835,0,0,3,
4,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7363,1468934,1468,10000,146,21108,40170,4017,4835,0,0,2,
4,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7657,1482000,1482,10000,148,21124,37191,12397,4836,0,0,7,
5,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7686,1333759,1333,10000,133,21232,36380,8084,4836,0,0,0,
5,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7696,1494061,1494,10000,149,21336,32208,16104,4837,0,0,7,
5,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7552,1481233,1481,10000,148,21252,28304,16174,4835,0,0,1,
6,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7326,1340493,1340,10000,134,21036,28226,16129,4835,0,0,0,
6,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,8005,1574539,1574,10000,157,21060,34822,11607,4835,0,0,15,
6,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7585,1499697,1499,10000,149,21124,32801,12300,4833,0,0,1,
7,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7356,1345383,1345,10000,134,21168,34316,15251,4835,0,0,1,
7,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7555,1496122,1496,10000,149,21032,32564,12211,4835,0,0,0,
7,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7522,1495626,1495,10000,149,21144,44713,0,4836,0,0,2,
8,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7812,1465788,1465,10000,146,21220,36705,8156,4835,0,0,4,
8,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7439,1467690,1467,10000,146,21252,36896,7379,4837,0,0,11,
8,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7542,1520067,1520,10000,152,21308,41176,4118,4838,0,0,1,
9,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7744,1409266,1409,10000,140,21120,28629,16359,4835,0,0,0,
9,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7364,1486237,1486,10000,148,21188,35956,7990,4837,0,0,1,
9,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7422,1500806,1500,10000,150,21088,36008,8001,4836,0,0,7,
10,linear-global,linear,10000,4,10,2,0,2,1,test_routes,7289,1357783,1357,10000,135,21252,27602,15772,4835,0,0,2,
10,linear-hit,linear,10000,4,10,2,0,2,1,test_routes,7389,1462035,1462,10000,146,21308,32181,12068,4839,0,0,2,
10,linear-miss,linear,10000,4,10,2,0,2,1,test_routes,7440,1518408,1518,10000,151,20996,39847,3984,4834,0,0,1,
1,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7704,1423095,1423,10000,142,21348,33353,12507,4875,0,0,0,
1,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8238,1811892,1811,10000,181,21488,34416,11461,4879,0,0,2,
1,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7745,1601479,1601,10000,160,21436,32158,12059,4878,0,0,0,
2,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7394,1404332,1404,10000,140,21508,39972,3997,4876,0,0,5,
2,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,10227,2204906,2204,10000,220,21396,57414,0,4878,0,0,3,
2,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7855,1569492,1569,10000,156,21568,33238,12464,4878,0,0,5,
3,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7602,1440630,1440,10000,144,21216,40726,4072,4874,0,0,2,
3,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8300,1853729,1853,10000,185,21360,38622,7724,4877,0,0,0,
3,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,9142,1772980,1772,10000,177,21508,43366,7884,4877,0,0,1,
4,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7639,1404441,1404,10000,140,21440,41047,4104,4876,0,0,10,
4,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,13980,3162328,3162,10000,316,21544,49386,7597,4881,0,0,1,
4,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7835,1561308,1561,10000,156,21392,33209,12453,4878,0,0,6,
5,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,10929,1916094,1916,10000,191,21388,39649,15859,4875,0,0,5,
5,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,11341,2472532,2472,10000,247,21444,37829,15131,4878,0,0,1,
5,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,9909,1978457,1978,10000,197,21592,51151,3928,4880,0,0,2,
6,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7444,1405095,1405,10000,140,21388,28274,16156,4876,0,0,2,
6,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8847,1968063,1968,10000,196,21520,35962,11987,4878,0,0,1,
6,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8429,1744751,1744,10000,174,21360,34820,11606,4877,0,0,1,
7,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7592,1408874,1408,10000,140,21544,25431,21192,4878,0,0,1,
7,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8113,1866391,1866,10000,186,21408,40390,12117,4878,0,0,1,
7,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7802,1603779,1603,10000,160,21364,37161,8258,4878,0,0,1,
8,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7474,1402021,1402,10000,140,21252,39986,3998,4874,0,0,5,
8,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7924,1835864,1835,10000,183,21528,32303,12113,4880,0,0,19,
8,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7788,1577014,1577,10000,157,21380,24852,20710,4878,0,0,5,
9,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7573,1402402,1402,10000,140,21508,33269,11089,4877,0,0,0,
9,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8237,1976897,1976,10000,197,21604,26969,19263,4879,0,0,1,
9,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7774,1576532,1576,10000,157,21492,30297,15148,4878,0,0,0,
10,trie-global,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7394,1466856,1466,10000,146,21544,25364,18117,4877,0,0,8,
10,trie-hit,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,8156,1834043,1834,10000,183,21456,40460,8092,4878,0,0,0,
10,trie-miss,bird-prefix-trie,10000,4,10,2,0,2,1,test_routes,7919,1624023,1624,10000,162,21440,32216,16108,4877,0,0,0,
1,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7580,1332893,1332,10000,133,21512,36145,8032,4873,0,0,0,
1,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7870,1465627,1465,10000,146,21492,24462,24462,4874,0,0,0,
1,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7558,1459688,1459,10000,145,21456,40090,4009,4876,0,0,0,
2,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,13103,2484732,2484,10000,248,21508,52822,20316,4876,0,0,0,
2,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7585,1468234,1468,10000,146,21504,32691,12259,4873,0,0,0,
2,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7640,1480573,1480,10000,148,21428,36117,8026,4873,0,0,5,
3,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7385,1294482,1294,10000,129,21496,31957,11983,4874,0,0,0,
3,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,13695,2949373,2949,10000,294,21512,58553,15614,4874,0,0,1,
3,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7538,1460607,1460,10000,146,21352,29409,14704,4872,0,0,6,
4,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7448,1278026,1278,10000,127,21384,36312,8069,4873,0,0,6,
4,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7534,1459835,1459,10000,145,21488,28028,16023,4874,0,0,6,
4,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7482,1454967,1454,10000,145,21428,39936,3993,4873,0,0,4,
5,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7549,1293476,1293,10000,129,21364,32608,12228,4874,0,0,0,
5,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7489,1473333,1473,10000,147,21584,27879,15931,4875,0,0,7,
5,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7624,1462656,1462,10000,146,21256,44387,0,4873,0,0,2,
6,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7431,1277706,1277,10000,127,21492,20425,24510,4874,0,0,0,
6,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7730,1486333,1486,10000,148,21440,36802,8178,4875,0,0,0,
6,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7585,1482333,1482,10000,148,21524,29847,14923,4875,0,0,0,
7,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7409,1255913,1255,10000,125,21364,36005,8001,4874,0,0,1,
7,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,8000,1487086,1487,10000,148,21404,38631,7726,4873,0,0,0,
7,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7776,1458034,1458,10000,145,21372,29766,14883,4875,0,0,1,
8,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7453,1278335,1278,10000,127,21384,22464,22464,4874,0,0,1,
8,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,10856,1470861,1470,10000,147,21556,40523,4052,4875,0,0,2,
8,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7772,1502390,1502,10000,150,21492,32280,12105,4873,0,0,6,
9,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7437,1271125,1271,10000,127,21352,29913,14956,4874,0,0,0,
9,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7642,1477189,1477,10000,147,21500,30130,15065,4874,0,0,0,
9,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7923,1509420,1509,10000,150,21384,30139,15069,4873,0,0,2,
10,hybrid-global,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7432,1270460,1270,10000,127,21512,32087,12032,4874,0,0,0,
10,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7645,1485689,1485,10000,148,21432,40545,4054,4876,0,0,0,
10,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,0,2,1,test_routes,7753,1494406,1494,10000,149,21440,34231,11410,4876,0,0,1,
1,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,12927,4950226,4950,10000,495,41332,100617,37776,10879,0,187,47,
1,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,12448,4506173,4506,10000,450,41264,90170,36887,10769,0,188,73,
1,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11503,3461173,3461,10000,346,33640,69459,32690,8883,0,196,13,
2,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,12819,5013144,5013,10000,501,41284,102372,25593,10770,0,177,7,
2,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,14288,5713054,5713,10000,571,41164,100324,38580,10877,0,191,3,
2,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11401,3419724,3419,10000,341,33840,78125,24671,8986,0,179,13,
3,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,14036,5931828,5931,10000,593,41116,104476,24109,10769,0,176,1,
3,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,13293,5081264,5081,10000,508,41104,104930,28250,10772,0,188,2,
3,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11276,3389462,3389,10000,338,33856,92047,8766,8880,0,173,2,
4,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,14451,5721463,5721,10000,572,40992,104669,36231,10772,0,201,88,
4,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,12877,4742671,4742,10000,474,41356,105891,19609,10880,0,178,4,
4,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11514,3595448,3595,10000,359,33796,74399,27410,8879,0,177,11,
5,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,12576,4783655,4783,10000,478,41168,104868,20973,10771,0,181,3,
5,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,12598,4703873,4703,10000,470,41056,104971,23326,10772,0,175,17,
5,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11979,3814455,3814,10000,381,33724,65334,38432,8986,0,176,4,
6,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,14050,5875435,5875,10000,587,41152,98304,32764,10874,0,188,7,
6,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,12981,4907030,4907,10000,490,41052,99502,27855,10871,0,184,9,
6,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,13488,4407940,4407,10000,440,33668,69004,49836,8985,0,195,0,
7,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,13945,5639920,5639,10000,563,41120,91882,43943,10771,0,178,4,
7,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,15009,5997959,5997,10000,599,41304,88165,60112,10874,0,195,75,
7,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,13223,4740335,4740,10000,474,33924,68417,36220,8883,0,184,1,
8,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,12527,4633294,4633,10000,463,41092,99415,27836,10770,0,180,3,
8,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,17974,6551908,6551,10000,655,41304,89621,42862,10773,0,183,4,
8,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,12083,3735685,3735,10000,373,33636,62957,40736,8886,0,179,4,
9,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,13479,5187920,5187,10000,518,41240,114007,16889,10771,0,183,1,
9,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,15204,5906340,5906,10000,590,41180,122368,27632,10776,0,201,5,
9,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11833,3710491,3710,10000,371,33900,78549,24805,8883,0,179,15,
10,linear-hit,linear,10000,4,10,2,50,10000,5000,test_routes,12642,4771096,4771,10000,477,41176,85953,40930,10873,0,185,4,
10,linear-miss,linear,10000,4,10,2,50,10000,5000,test_routes,12526,4621418,4621,10000,462,41200,96208,32069,10773,0,183,1,
10,linear-global,linear,10000,4,10,2,50,10000,5000,test_routes,11681,3631313,3631,10000,363,33728,85825,17165,8879,0,181,1,
1,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,55795,44891196,44891,10000,4489,84752,98318,49159,20800,0,0,0,
1,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,47519,37927780,37927,10000,3792,84768,84986,52610,20799,0,0,0,
1,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,13158,4974626,4974,10000,497,35732,68715,12126,8462,0,0,0,
2,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,50969,41122573,41122,10000,4112,84828,84670,56446,20799,0,0,1,
2,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,51088,40649568,40649,10000,4064,84792,83908,59934,20801,0,0,3,
2,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,13701,5148552,5148,10000,514,35440,79064,4161,8458,0,0,0,
3,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,53347,42711391,42711,10000,4271,84844,124161,20026,20799,0,0,0,
3,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,51273,41045440,41045,10000,4104,84836,110130,36716,20799,0,0,0,
3,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,14681,6031572,6031,10000,603,35624,40268,44295,8462,0,0,0,
4,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,49911,40237941,40237,10000,4023,84964,87117,55429,20800,0,0,2,
4,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,49629,39927663,39927,10000,3992,84776,93708,44806,20799,0,0,0,
4,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,12637,4611115,4611,10000,461,35500,58981,19660,8460,0,0,0,
5,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,52047,41759529,41759,10000,4175,84832,76384,64323,20800,0,0,2,
5,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,49758,39757647,39757,10000,3975,84896,92786,48410,20800,0,0,1,
5,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,14644,5693971,5693,10000,569,35460,67809,19916,8459,0,0,2,
6,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,50717,40577501,40577,10000,4057,85012,87344,55589,20802,0,0,1,
6,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,68070,55078093,55078,10000,5507,84852,117801,55041,20800,0,0,62,
6,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,13287,5021760,5021,10000,502,35776,69534,16361,8462,0,0,1,
7,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,66569,54889549,54889,10000,5488,84852,87462,79435,20801,0,0,6,
7,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,51385,41302983,41302,10000,4130,84612,98638,43405,20798,0,0,1,
7,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,13351,4992494,4992,10000,499,35732,58354,23341,8464,0,0,1,
8,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,63303,50767010,50767,10000,5076,84920,106391,51229,20801,0,0,9,
8,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,49627,39625232,39625,10000,3962,84792,96025,44011,20800,0,0,0,
8,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,14150,5572931,5572,10000,557,35568,65919,17578,8461,0,1,14,
9,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,50020,40253199,40253,10000,4025,84768,81027,60770,20799,0,0,0,
9,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,50175,40140674,40140,10000,4014,84792,90615,51235,20800,0,0,0,
9,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,13383,5106769,5106,10000,510,35736,54136,27068,8463,0,0,0,
10,trie-hit,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,82772,66749704,66749,10000,6674,84752,136140,68076,20800,0,0,0,
10,trie-miss,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,52967,42283155,42283,10000,4228,84928,92672,56414,20801,0,0,2,
10,trie-global,bird-prefix-trie,10000,4,10,2,50,10000,5000,test_routes,14256,5659501,5659,10000,565,35492,71263,11879,8461,0,0,0,
1,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15592,7005402,7005,10000,700,43388,78983,27644,10432,0,0,1,
1,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,16286,7424857,7424,10000,742,43196,85901,24543,10430,0,0,0,
1,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14135,5229928,5229,10000,522,35956,61414,23035,8539,0,0,1,
2,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,17179,7986023,7986,10000,798,43308,80125,32050,10430,0,0,0,
2,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15246,6753127,6753,10000,675,43300,82601,27533,10430,0,0,0,
2,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,13530,4922660,4922,10000,492,36148,71786,11964,8543,0,0,0,
3,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15841,6984103,6984,10000,698,43288,89799,20409,10428,0,0,0,
3,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15453,6725911,6725,10000,672,43304,89151,20261,10431,0,0,3,
3,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14521,5417453,5417,10000,541,35956,81515,4077,8539,0,0,0,
4,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,16014,7186733,7186,10000,718,43164,93243,19425,10429,0,0,1,
4,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,17919,8631053,8631,10000,863,43276,92790,20171,10429,0,0,0,
4,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14165,4864782,4864,10000,486,36104,52309,36214,8540,0,0,2,
5,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,16326,7228203,7228,10000,722,43248,68026,48018,10431,0,0,2,
5,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,19753,9066916,9066,10000,906,43280,107345,23846,10429,0,0,6,
5,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14167,4990948,4990,10000,499,36052,63514,23822,8542,0,0,1,
6,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15338,6681003,6681,10000,668,43196,92751,16130,10431,0,0,1,
6,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,17423,8392849,8392,10000,839,43180,82658,28930,10431,0,0,0,
6,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14491,5446891,5446,10000,544,36096,64059,20018,8542,0,0,0,
7,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15277,6550156,6550,10000,655,43288,96477,12059,10428,0,0,1,
7,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14965,6293123,6293,10000,629,43148,76091,32042,10429,0,0,0,
7,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15651,5999626,5999,10000,599,36020,65565,24576,8540,0,0,1,
8,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,17062,8103329,8103,10000,810,43336,67686,43797,10430,0,0,0,
8,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14979,6273649,6273,10000,627,43240,97023,11642,10430,0,0,0,
8,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14074,5307160,5307,10000,530,36104,57910,24818,8542,0,0,0,
9,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,14791,6381119,6381,10000,638,43384,78150,27352,10431,0,0,1,
9,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15205,6639230,6639,10000,663,43164,84139,24046,10429,0,0,0,
9,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,13272,4571027,4571,10000,457,35888,61433,19198,8539,0,0,1,
10,hybrid-hit,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,15960,7201965,7201,10000,720,43248,73376,36688,10431,0,0,0,
10,hybrid-miss,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,16042,7404078,7404,10000,740,43212,87875,19971,10429,0,0,0,
10,hybrid-global,bird-prefix-hybrid,10000,4,10,2,50,10000,5000,test_routes,13097,4565172,4565,10000,456,36084,53152,28620,8541,0,0,1,
1,original-global,bird,10000,4,10,2,50,10000,5000,test_routes,11145,3160080,3160,10000,316,31756,68241,8028,7461,0,0,3,
2,original-global,bird,10000,4,10,2,50,10000,5000,test_routes,11630,3443207,3443,10000,344,31616,52984,24460,7460,0,0,0,
3,original-global,bird,10000,4,10,2,50,10000,5000,test_routes,11914,3669115,3669,10000,366,31744,66105,11665,7459,0,0,0,
